t,x,y,z
0.000952,0.89,-0.238,0.29
0.051,0.898,-0.236,0.276
0.100856,0.89,-0.224,0.286
0.150904,0.89,-0.22,0.264
0.200952,0.896,-0.23,0.27
0.251,0.9,-0.236,0.272
0.300856,0.884,-0.216,0.27
0.350904,0.904,-0.238,0.274
0.400952,0.898,-0.238,0.278
0.451,0.894,-0.23,0.3
0.500856,0.89,-0.246,0.294
0.550904,0.89,-0.238,0.296
0.600952,0.898,-0.242,0.31
0.651,0.874,-0.224,0.28
0.700856,0.89,-0.242,0.288
0.750904,0.894,-0.236,0.286
0.800952,0.89,-0.232,0.286
0.851,0.882,-0.238,0.278
0.901856,0.896,-0.238,0.29
0.951904,0.89,-0.24,0.284
1.001952,0.884,-0.23,0.286
1.052,0.892,-0.23,0.284
1.101856,0.89,-0.22,0.288
1.151904,0.894,-0.312,0.272
1.201952,0.91,-0.224,0.286
1.252,0.898,-0.232,0.28
1.301856,0.894,-0.23,0.294
1.351904,0.9,-0.222,0.268
1.401952,0.9,-0.222,0.29
1.452,0.89,-0.224,0.28
1.501856,0.898,-0.23,0.288
1.551904,0.882,-0.216,0.28
1.601952,0.898,-0.224,0.284
1.652,0.88,-0.206,0.27
1.701856,0.88,-0.224,0.278
1.751904,0.89,-0.23,0.274
1.801952,0.884,-0.222,0.28
1.852,0.896,-0.236,0.294
1.902856,0.898,-0.24,0.286
1.952904,0.896,-0.242,0.272
2.002952,0.898,-0.242,0.284
2.053,0.884,-0.23,0.286
2.102856,0.896,-0.23,0.272
2.152904,0.9,-0.224,0.272
2.202952,0.898,-0.238,0.29
2.253,0.884,-0.214,0.272
2.302856,0.898,-0.236,0.286
2.352904,0.894,-0.232,0.296
2.402952,0.89,-0.232,0.28
2.453,0.892,-0.24,0.288
2.502856,0.89,-0.246,0.28
2.552904,0.882,-0.222,0.284
2.602952,0.904,-0.248,0.274
2.653,0.9,-0.326,0.254
2.702856,0.89,-0.246,0.284
2.752904,0.89,-0.238,0.286
2.802952,0.898,-0.238,0.284
2.853,0.904,-0.236,0.28
2.903856,0.9,-0.24,0.288
2.953904,0.89,-0.238,0.268
3.003952,0.89,-0.246,0.272
3.054,0.896,-0.238,0.272
3.103856,0.894,-0.238,0.276
3.153904,0.896,-0.214,0.28
3.203952,0.884,-0.23,0.284
3.254,0.898,-0.222,0.284
3.303856,0.904,-0.23,0.274
3.353904,0.898,-0.232,0.274
3.403952,0.88,-0.23,0.284
3.454,0.904,-0.242,0.286
3.503856,0.884,-0.23,0.28
3.553904,0.888,-0.224,0.28
3.603952,0.898,-0.236,0.278
3.654,0.896,-0.224,0.286
3.703856,0.9,-0.242,0.296
3.753904,0.882,-0.208,0.27
3.803952,0.916,-0.236,0.294
3.854,0.864,-0.224,0.252
3.903856,0.894,-0.226,0.286
3.953904,0.9,-0.238,0.284
4.003952,0.9,-0.236,0.288
4.054,0.896,-0.232,0.29
4.104856,0.898,-0.232,0.28
4.154904,0.888,-0.224,0.28
4.204952,0.898,-0.23,0.274
4.255,0.778,-0.214,0.262
4.304856,0.882,-0.216,0.274
4.354904,0.898,-0.242,0.284
4.404952,0.89,-0.24,0.28
4.455,0.89,-0.242,0.29
4.504856,0.898,-0.252,0.28
4.554904,0.89,-0.236,0.288
4.604952,0.898,-0.236,0.278
4.655,0.898,-0.238,0.28
4.704856,0.89,-0.248,0.28
4.754904,0.89,-0.238,0.294
4.804952,0.894,-0.236,0.294
4.855,0.89,-0.24,0.284
4.904856,0.888,-0.236,0.354
4.954904,0.898,-0.254,0.288
5.004952,0.902,-0.24,0.286
5.055,0.896,-0.24,0.29
5.105856,0.894,-0.248,0.28
5.155904,0.882,-0.216,0.262
5.205952,0.89,-0.242,0.284
5.256,0.894,-0.236,0.286
5.305856,0.89,-0.24,0.28
5.355904,0.898,-0.232,0.284
5.405952,0.904,-0.252,0.284
5.456,0.894,-0.238,0.28
5.505856,0.904,-0.24,0.28
5.555904,0.894,-0.238,0.278
5.605952,0.898,-0.24,0.288
5.656,0.894,-0.24,0.284
5.705856,0.89,-0.244,0.28
5.755904,0.896,-0.246,0.284
5.805952,0.89,-0.242,0.284
5.856,0.904,-0.246,0.27
5.905856,0.898,-0.24,0.292
5.955904,0.89,-0.246,0.28
6.005952,0.882,-0.242,0.284
6.056,0.892,-0.224,0.284
6.106856,0.898,-0.23,0.29
6.156904,0.884,-0.22,0.272
6.206952,0.884,-0.246,0.286
6.257,0.882,-0.226,0.278
6.306856,0.892,-0.24,0.286
6.356904,0.894,-0.248,0.286
6.406952,0.888,-0.24,0.286
6.457,0.89,-0.246,0.28
6.506856,0.898,-0.244,0.276
6.556904,0.898,-0.236,0.304
6.606952,0.904,-0.24,0.294
6.657,0.898,-0.23,0.294
6.706856,0.884,-0.242,0.288
6.756904,0.89,-0.252,0.3
6.806952,0.882,-0.27,0.296
6.857,0.898,-0.272,0.286
6.906856,0.884,-0.262,0.286
6.956904,0.874,-0.242,0.286
7.006952,0.926,-0.24,0.286
7.057,0.92,-0.214,0.306
7.107856,0.914,-0.184,0.326
7.157904,0.922,-0.206,0.334
7.207952,0.848,-0.2,0.32
7.258,0.862,-0.226,0.304
7.307856,0.88,-0.274,0.274
7.357904,0.824,-0.342,0.176
7.407952,0.826,-0.328,0.164
7.458,0.928,-0.332,0.134
7.507856,0.896,-0.374,0.116
7.557904,0.85,-0.46,0.154
7.607952,0.888,-0.432,0.208
7.658,0.878,-0.342,0.28
7.707856,0.938,-0.384,0.388
7.757904,0.9,-0.376,0.446
7.807952,0.884,-0.312,0.46
7.858,0.832,-0.198,0.432
7.907856,0.816,-0.252,0.408
7.957904,0.78,-0.336,0.386
8.007952,0.786,-0.286,0.334
8.058,0.788,-0.312,0.358
8.108856,0.864,-0.274,0.352
8.158904,0.8,0.218,0.524
8.208952,1.192,-0.294,0.082
8.259,0.816,-0.322,0.456
8.308856,0.874,-0.318,0.412
8.358904,0.858,-0.286,0.39
8.408952,0.8,-0.384,0.436
8.459,0.788,-0.364,0.446
8.508856,0.754,-0.398,0.466
8.558904,0.746,-0.408,0.44
8.608952,0.784,-0.402,0.422
8.659,0.698,-0.418,0.358
