t,x,y,z
0.025952,0.936,-0.304,0.086
0.076,0.92,-0.304,0.092
0.126856,0.934,-0.314,0.088
0.176904,0.95,-0.314,0.072
0.226952,0.93,-0.298,0.076
0.277,0.934,-0.296,0.08
0.326856,0.934,-0.318,0.07
0.376904,0.93,-0.318,0.08
0.426952,0.92,-0.314,0.092
0.477,0.934,-0.32,0.076
0.526856,0.94,-0.318,0.076
0.576904,0.936,-0.328,0.082
0.626952,0.934,-0.334,0.078
0.677,0.942,-0.322,0.082
0.726856,0.928,-0.318,0.092
0.776904,0.932,-0.318,0.07
0.826952,0.926,-0.314,0.07
0.877,0.946,-0.318,0.068
0.926856,0.936,-0.316,0.062
0.976904,0.928,-0.306,0.07
1.026952,0.946,-0.312,0.08
1.077,0.936,-0.324,0.086
1.127856,0.934,-0.318,0.064
1.177904,0.926,-0.33,0.088
1.227952,0.926,-0.296,0.08
1.278,0.944,-0.314,0.082
1.327856,0.926,-0.296,0.062
1.377904,0.944,-0.304,0.092
1.427952,0.948,-0.306,0.07
1.478,0.934,-0.318,0.078
1.527856,0.936,-0.298,0.072
1.577904,0.934,-0.312,0.094
1.627952,0.944,-0.306,0.078
1.678,0.926,-0.314,0.078
1.727856,0.934,-0.312,0.064
1.777904,0.944,-0.322,0.078
1.827952,0.934,-0.318,0.07
1.878,0.944,-0.308,0.064
1.927856,0.942,-0.306,0.08
1.977904,0.93,-0.314,0.072
2.027952,0.936,-0.314,0.062
2.078,0.95,-0.318,0.078
2.128856,0.944,-0.306,0.078
2.178904,0.946,-0.312,0.062
2.228952,0.936,-0.32,0.066
2.279,0.94,-0.328,0.064
2.328856,0.926,-0.322,0.076
2.378904,0.934,-0.308,0.07
2.428952,0.934,-0.3,0.062
2.479,0.944,-0.298,0.07
2.528856,0.944,-0.302,0.07
2.578904,0.952,-0.296,0.062
2.628952,0.944,-0.304,0.078
2.679,0.942,-0.296,0.076
2.728856,0.936,-0.302,0.078
2.778904,0.936,-0.308,0.07
2.828952,0.944,-0.304,0.06
2.879,0.95,-0.306,0.072
2.928856,0.944,-0.308,0.064
2.978904,0.942,-0.302,0.078
3.028952,0.934,-0.306,0.07
3.079,0.936,-0.298,0.072
3.129856,0.928,-0.298,0.07
3.179904,0.942,-0.288,0.08
3.229952,0.93,-0.302,0.07
3.28,0.926,-0.312,0.072
3.329856,0.934,-0.314,0.076
3.379904,0.94,-0.302,0.08
3.429952,0.93,-0.296,0.07
3.48,0.946,-0.314,0.08
3.529856,0.942,-0.312,0.068
3.579904,0.934,-0.306,0.078
3.629952,0.938,-0.306,0.078
3.68,0.94,-0.302,0.08
3.729856,0.936,-0.304,0.07
3.779904,0.93,-0.32,0.062
3.829952,0.952,-0.32,0.062
3.88,0.944,-0.32,0.082
3.929856,0.934,-0.314,0.072
3.979904,0.94,-0.312,0.062
4.029952,0.948,-0.314,0.068
4.08,0.946,-0.328,0.078
4.129856,0.946,-0.32,0.07
4.179904,0.912,-0.328,0.06
4.229952,0.912,-0.334,0.054
4.28,0.896,-0.338,0.048
4.330856,0.898,-0.346,0.046
4.380904,0.914,-0.362,0.044
4.430952,0.904,-0.324,0.048
4.481,0.924,-0.314,0.034
4.530856,0.946,-0.292,0.022
4.580904,0.958,-0.264,0.038
4.630952,0.968,-0.232,0.108
4.681,1.0,-0.218,0.168
4.730856,0.976,-0.28,0.182
4.780904,0.974,-0.268,0.13
4.830952,1.008,-0.336,0.16
4.881,0.902,-0.392,0.12
4.930856,0.886,-0.346,0.112
4.980904,0.834,-0.336,0.1
5.030952,0.862,-0.314,0.088
5.081,0.952,-0.368,0.07
5.130856,0.972,-0.34,0.044
5.180904,0.914,-0.306,0.014
5.230952,0.944,-0.288,0.044
5.281,0.924,-0.26,0.024
5.331856,0.934,-0.264,-0.02
5.381904,0.96,-0.254,-0.048
5.431952,0.998,-0.282,-0.096
5.482,1.02,-0.288,-0.126
5.531856,0.974,-0.212,-0.158
5.581904,0.864,-0.026,-0.392
5.631952,0.934,-0.306,-0.144
5.682,0.89,-0.392,-0.04
5.731856,0.928,-0.114,0.096
5.781904,0.912,-0.36,-0.016
5.831952,0.92,-0.45,-0.046
5.882,0.92,-0.584,-0.064
5.931856,0.936,-0.426,-0.09
5.981904,0.992,-0.398,-0.112
6.031952,1.048,-0.4,-0.154
6.082,1.07,-0.254,-0.064
6.131856,0.936,-0.182,0.118
