t,x,y,z
0.002904,-0.156,-0.898,0.416
0.052952,-0.166,-0.892,0.43
0.103,-0.16,-0.898,0.428
0.152856,-0.18,-0.892,0.418
0.202904,-0.172,-0.894,0.44
0.252952,-0.176,-0.886,0.432
0.303,-0.174,-0.882,0.428
0.352856,-0.176,-0.894,0.418
0.402904,-0.176,-0.88,0.402
0.452952,-0.168,-0.896,0.414
0.503,-0.158,-0.886,0.438
0.553856,-0.168,-0.896,0.432
0.603904,-0.15,-0.876,0.428
0.653952,-0.176,-0.908,0.428
0.704,-0.174,-0.892,0.414
0.753856,-0.176,-0.888,0.432
0.803904,-0.174,-0.894,0.398
0.853952,-0.192,-0.888,0.4
0.904,-0.176,-0.908,0.408
0.953856,-0.17,-0.902,0.424
1.003904,-0.162,-0.888,0.412
1.053952,-0.228,-0.876,0.352
1.104,-0.286,-0.856,0.272
1.153856,-0.28,-0.928,0.32
1.203904,-0.158,-0.926,0.39
1.253952,-0.11,-0.93,0.432
1.304,-0.112,-0.94,0.464
1.353856,-0.144,-0.878,0.432
1.403904,-0.194,-0.86,0.422
1.453952,-0.176,-0.898,0.418
1.504,-0.152,-0.91,0.434
1.554856,-0.13,-0.902,0.434
1.604904,-0.15,-0.856,0.448
1.654952,-0.188,-0.848,0.416
1.705,-0.2,-0.902,0.504
1.754856,-0.24,-0.956,0.334
1.804904,-0.142,-0.906,0.726
1.854952,-0.234,-0.856,0.318
1.905,-0.19,-0.984,0.482
1.954856,-0.186,-0.752,0.46
2.004904,-0.248,-1.046,0.39
2.054952,-0.176,-0.722,0.44
2.105,-0.168,-1.02,0.446
2.154856,-0.22,-0.656,0.286
2.204904,-0.192,-0.942,0.3
2.254952,-0.19,-0.924,0.224
2.305,-0.108,-1.304,0.176
2.354856,-0.142,-0.988,0.158
2.404904,-0.216,-0.796,0.172
2.454952,-0.166,-0.944,0.178
2.505,-0.134,-1.104,0.12
2.555856,-0.014,-0.976,0.192
2.605904,0.04,-0.764,0.072
2.655952,-0.03,-0.742,-0.712
2.706,-0.24,-1.116,-0.77
2.755856,-0.246,-0.59,-0.516
2.805904,-0.218,-0.962,-0.42
2.855952,-0.142,-0.614,-0.382
2.906,-0.31,-0.764,-0.584
2.955856,-0.322,-0.806,-0.574
3.005904,-0.272,-0.788,-0.456
3.055952,-0.254,-0.54,-0.37
3.106,-0.254,-1.032,-0.45
3.155856,-0.312,-0.68,-0.448
3.205904,-0.274,-0.716,-0.424
3.255952,-0.284,-0.818,-0.388
3.306,-0.368,-0.654,-0.434
3.355856,-0.27,-0.87,-0.368
3.405904,-0.286,-0.77,-0.33
3.455952,-0.344,-0.8,-0.404
3.506,-0.398,-0.85,-0.34
3.555856,-0.334,-0.682,-0.284
3.605904,-0.344,-0.83,-0.264
3.655952,-0.318,-0.766,-0.308
3.706,-0.302,-0.668,-0.432
3.756856,-0.318,-0.7,-0.41
3.806904,-0.384,-0.462,-0.552
3.856952,-0.408,-0.732,-0.832
3.907,-0.48,-0.432,-0.882
3.956856,-0.462,-0.48,-0.766
4.006904,-0.3,-0.582,-0.276
4.056952,-0.246,-0.552,-0.42
4.107,-0.44,-0.812,-0.666
4.156856,-0.408,-0.19,-0.532
4.206904,-0.326,-0.672,-0.644
4.256952,-0.456,-0.486,-0.616
4.307,-0.414,-0.608,-0.532
4.356856,-0.338,-0.584,-0.474
4.406904,-0.46,-0.48,-0.648
4.456952,-0.398,-0.686,-0.672
4.507,-0.384,-0.608,-0.576
4.556856,-0.334,-0.542,-0.548
4.606904,-0.392,-0.412,-0.544
4.656952,-0.414,-0.526,-0.696
4.707,-0.23,-0.608,-0.494
4.757856,-0.398,-0.588,-0.724
4.807904,-0.294,-0.608,-0.434
4.857952,-0.39,-0.568,-0.592
4.908,-0.264,-0.568,-0.416
4.957856,-0.336,-0.71,-0.546
5.007904,-0.296,-0.738,-0.478
5.057952,-0.384,-0.67,-0.536
5.108,-0.336,-0.648,-0.498
5.157856,-0.352,-0.464,-0.658
5.207904,-0.556,-0.882,-0.592
5.257952,-0.448,-0.67,-0.474
5.308,-0.382,-0.662,-0.552
5.357856,-0.12,-0.776,-0.34
5.407904,-0.352,-0.716,-0.468
5.457952,-0.334,-0.696,-0.41
5.508,-0.326,-0.664,-0.496
5.557856,-0.294,-0.752,-0.506
5.607904,-0.334,-0.766,-0.504
5.657952,-0.364,-0.646,-0.474
5.708,-0.332,-0.646,-0.44
5.758856,-0.318,-0.792,-0.434
5.808904,-0.31,-0.732,-0.384
5.858952,-0.328,-0.798,-0.366
5.909,-0.332,-0.76,-0.308
5.958856,-0.344,-0.798,-0.336
6.008904,-0.332,-0.818,-0.334
6.058952,-0.322,-0.786,-0.288
6.109,-0.332,-0.848,-0.368
6.158856,-0.338,-0.808,-0.378
6.208904,-0.306,-0.916,-0.328
6.258952,-0.4,-0.856,-0.314
6.309,-0.348,-0.892,-0.25
6.358856,-0.424,-0.704,-0.104
6.408904,-0.352,-0.716,-0.072
6.458952,-0.36,-0.856,-0.164
6.509,-0.376,-0.926,-0.2
6.558856,-0.402,-0.88,-0.176
6.608904,-0.398,-0.83,-0.192
6.658952,-0.382,-0.83,-0.154
6.709,-0.38,-0.856,-0.2
6.759856,-0.352,-0.864,-0.218
6.809904,-0.344,-0.864,-0.238
6.859952,-0.358,-0.824,-0.228
6.91,-0.352,-0.838,-0.232
6.959856,-0.354,-0.856,-0.27
7.009904,-0.36,-0.806,-0.264
7.059952,-0.368,-0.792,-0.27
7.11,-0.348,-0.816,-0.286
7.159856,-0.37,-0.856,-0.274
7.209904,-0.344,-0.802,-0.26
7.259952,-0.364,-0.814,-0.264
7.31,-0.346,-0.83,-0.272
7.359856,-0.352,-0.83,-0.28
7.409904,-0.35,-0.838,-0.282
7.459952,-0.338,-0.864,-0.286
7.51,-0.352,-0.78,-0.244
7.559856,-0.35,-0.802,-0.25
7.609904,-0.352,-0.846,-0.232
7.659952,-0.354,-0.846,-0.242
7.71,-0.348,-0.876,-0.232
7.759856,-0.354,-0.856,-0.232
7.809904,-0.344,-0.85,-0.224
7.859952,-0.358,-0.84,-0.232
7.91,-0.334,-0.732,-0.19
7.960856,-0.376,-0.944,-0.26
8.010904,-0.39,-0.93,-0.242
8.060952,-0.416,-0.822,-0.174
8.111,-0.454,-0.888,-0.068
8.160856,-0.486,-0.85,-0.002
8.210904,-0.45,-0.878,-0.036
8.260952,-0.448,-0.83,0.07
8.311,-0.432,-0.784,0.136
8.360856,-0.454,-0.808,0.296
8.410904,-0.478,-0.834,0.318
8.460952,-0.464,-0.706,0.398
8.511,-0.536,-0.87,0.352
8.560856,-0.528,-0.786,0.46
8.610904,-0.48,-0.766,0.444
8.660952,-0.472,-0.654,0.646
8.711,-0.46,-0.59,0.704
9.361856,-0.364,-0.546,0.902
9.411904,-0.438,-0.496,0.908
9.461952,-0.36,-0.542,0.806
9.512,-0.326,-0.568,0.808
9.561856,-0.344,-0.478,0.802
9.611904,-0.328,-0.486,0.87
9.661952,-0.368,-0.454,0.88
9.712,-0.39,-0.422,0.802
9.761856,-0.336,-0.494,0.78
9.811904,-0.358,-0.606,0.888
9.861952,-0.352,-0.544,0.838
9.912,-0.344,-0.51,0.864
9.962856,-0.376,-0.55,0.856
10.012904,-0.35,-0.536,0.872
10.062952,-0.258,-0.534,0.846
10.113,-0.268,-0.494,0.944
10.162856,-0.28,-0.392,0.974
10.212904,-0.266,-0.368,1.074
10.262952,-0.302,-0.46,0.796
10.313,-0.344,-0.678,0.396
10.362856,-0.398,-0.64,0.472
10.412904,-0.534,-0.664,0.528
10.462952,-0.614,-0.594,0.504
10.513,-0.654,-0.678,0.542
10.562856,-0.604,-0.732,0.53
10.612904,-0.496,-0.704,0.608
10.662952,-0.476,-0.668,0.6
10.713,-0.518,-0.656,0.632
10.762856,-0.526,-0.638,0.572
10.812904,-0.518,-0.67,0.59
10.862952,-0.536,-0.616,0.578
10.913,-0.544,-0.628,0.632
10.963856,-0.536,-0.62,0.63
11.013904,-0.542,-0.64,0.626
11.063952,-0.526,-0.598,0.624
11.114,-0.542,-0.598,0.624
11.163856,-0.536,-0.6,0.622
11.213904,-0.54,-0.578,0.646
11.263952,-0.568,-0.536,0.678
11.314,-0.486,-0.646,0.626
11.363856,-0.524,-0.658,0.59
11.413904,-0.508,-0.61,0.6
11.463952,-0.524,-0.582,0.664
11.514,-0.514,-0.574,0.652
11.563856,-0.508,-0.598,0.676
11.613904,-0.496,-0.576,0.67
11.663952,-0.494,-0.638,0.648
11.714,-0.518,-0.646,0.676
11.964856,-0.518,-0.61,0.652
12.014904,-0.51,-0.63,0.652
12.064952,-0.508,-0.608,0.656
12.115,-0.52,-0.606,0.654
12.364856,-0.518,-0.604,0.638
12.414904,-0.502,-0.618,0.656
12.464952,-0.51,-0.614,0.646
12.515,-0.52,-0.59,0.638
12.564856,-0.508,-0.608,0.612
12.614904,-0.384,-0.63,0.632
12.664952,-0.48,-0.654,0.62
12.715,-0.39,-0.654,0.718
12.764856,-0.408,-0.524,0.592
12.814904,-0.33,-0.562,0.608
12.864952,-0.4,-0.638,0.632
12.915,-0.398,-0.796,0.562
12.964856,-0.384,-0.67,0.636
13.014904,-0.342,-0.798,0.486
13.064952,-0.284,-0.766,0.496
13.115,-0.294,-0.956,0.428
13.165856,-0.27,-1.004,0.36
13.215904,-0.27,-0.92,0.236
13.265952,-0.262,-0.974,0.114
13.316,-0.286,-0.99,0.22
13.365856,-0.224,-0.926,0.252
13.415904,-0.088,-0.984,0.318
13.465952,-0.056,-0.958,0.338
13.516,-0.016,-0.896,0.312
13.565856,0.078,-1.036,0.232
13.615904,0.116,-0.882,0.23
13.665952,0.206,-0.808,0.312
13.716,0.336,-0.76,0.322
13.765856,0.466,-0.768,0.254
13.815904,0.542,-0.856,0.182
13.865952,0.61,-0.902,0.028
13.916,0.634,-0.752,-0.036
13.965856,0.552,-0.816,-0.36
14.015904,0.616,-0.81,-0.11
14.065952,0.686,-0.29,-0.056
14.116,0.642,-0.444,-0.312
14.166856,0.638,-0.434,-0.434
14.216904,0.568,-0.412,-0.61
14.266952,0.602,-0.344,-0.52
14.317,0.606,-0.688,-0.696
14.366856,0.51,-0.248,-0.728
14.416904,0.554,-0.226,-0.644
14.466952,0.596,-0.172,-0.724
14.517,0.516,-0.096,-0.714
14.566856,0.46,-0.03,-0.634
14.616904,0.436,-0.104,-0.788
14.666952,0.346,0.098,-0.872
14.717,0.542,0.09,-0.666
14.766856,0.64,-0.012,-0.596
